City,State,ZIP,ZillowID,latitude,lontitude,sqft,Price,ZPrice,ZRent,Income,Poverty,Degree,CostofLiving,Age
San Francisco,CA,94109,2109118875,37.790771,-122.424394,,3100,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15066983,37.795881,-122.4179,1040,5845,1171896,4600,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094816356,37.801526,-122.424972,600,3000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094816975,37.795296,-122.41754,,3150,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094817046,37.791714,-122.416071,,3100,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15075496,37.788567,-122.42406,2300,2000000,2378079,6000,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2105778286,37.799403,-122.421138,,4200,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094822899,37.787465,-122.424474,,1950,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15068264,37.791383,-122.416698,1139,4095,3098343,5200,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2104040611,37.782887,-122.418623,423,2695,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094829975,37.802652,-122.424059,,4800,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2101232649,37.794406,-122.428692,,4995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15073120,37.79431,-122.42961,916,875000,940774,3895,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,96012407,37.793865,-122.416917,1396,4900,1731016,5163,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094851833,37.792092,-122.414658,,3800,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094852311,37.79003,-122.41569,1722,1549000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094855970,37.787456,-122.427771,,3600,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094862390,37.788056,-122.423253,,3995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2106716060,37.783821,-122.416168,,1900,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2099413364,37.784496,-122.419462,450,1975,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15074965,37.78958,-122.42453,787,699000,755863,3800,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,80741160,37.795389,-122.429114,2000,2695000,2855325,8611,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2102163486,37.791043,-122.414602,,3600,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094882693,37.794677,-122.41503,,3100,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2114997310,37.790522,-122.426334,375,2195,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094885132,37.792035,-122.418969,450,2650,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094886038,37.790292,-122.422967,986,4595,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2101416072,37.783884,-122.418489,,2595,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15069277,37.788404,-122.41326,807,,1666291,6500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094891993,37.787234,-122.418729,295,2195,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,51082425,37.79987,-122.42284,1279,5900,1321376,4650,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15072736,37.795275,-122.4298,1030,5500,1175535,5200,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096566252,37.788107,-122.423346,1273,1495000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096191969,37.785896,-122.424449,1060,,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15064664,37.801738,-122.419015,1433,2295000,2332955,6777,66276,13.7,63.2,159.9,36.5
