ZillowID,latitude,longitude,sqft,Price,ZPrice,ZRent,Income,Poverty,Degree,CostofLiving,Age,lat_long,geometry,area,length,po_name,state,zip
80742245,37.757227,-122.388541,1646.0,1488000.0,1433818.0,4850.0,121167.0,12.0,69.2,152.0,37.0,"(37.757227, -122.38854099999999)",POINT (-122.388541 37.757227),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
54854706,37.78063,-122.389635,1050.0,,1343701.0,5000.0,121167.0,12.0,69.2,152.0,37.0,"(37.780630000000002, -122.38963500000001)",POINT (-122.389635 37.78063),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80738138,37.781167,-122.390697,1040.0,,1001840.0,3995.0,121167.0,12.0,69.2,152.0,37.0,"(37.781166999999996, -122.390697)",POINT (-122.390697 37.781167),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2094814341,37.757448,-122.399948,1500.0,6300.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.757447999999997, -122.39994799999999)",POINT (-122.399948 37.757448),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2102652573,37.778939,-122.402754,1200.0,4525.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.778939000000001, -122.402754)",POINT (-122.402754 37.778939),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2094803233,37.758945,-122.389035,,,,,121167.0,12.0,69.2,152.0,37.0,"(37.758945000000004, -122.38903500000001)",POINT (-122.389035 37.758945),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2094832889,37.755336,-122.401486,850.0,3500.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.755336, -122.40148600000001)",POINT (-122.401486 37.755336),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2097608226,37.781831,-122.390508,785.0,1025000.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.781830999999997, -122.39050800000001)",POINT (-122.390508 37.781831),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2097744720,37.781831,-122.390508,1106.0,1475000.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.781830999999997, -122.39050800000001)",POINT (-122.390508 37.781831),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80624823,37.752361,-122.390174,1500.0,4500.0,1199751.0,4500.0,121167.0,12.0,69.2,152.0,37.0,"(37.752361000000001, -122.390174)",POINT (-122.390174 37.752361),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
79843114,37.757915,-122.395492,1175.0,4500.0,1251936.0,4500.0,121167.0,12.0,69.2,152.0,37.0,"(37.757915000000004, -122.39549199999999)",POINT (-122.395492 37.757915),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2094849537,37.764276,-122.397971,715.0,3375.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.764276000000002, -122.397971)",POINT (-122.397971 37.764276),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
96033334,37.782054,-122.392837,821.0,3950.0,901398.0,3900.0,121167.0,12.0,69.2,152.0,37.0,"(37.782053999999995, -122.39283700000001)",POINT (-122.392837 37.782054),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
15149704,37.761068,-122.397042,3726.0,3195000.0,3342562.0,13000.0,121167.0,12.0,69.2,152.0,37.0,"(37.761068000000002, -122.397042)",POINT (-122.397042 37.761068),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
82786312,37.77898,-122.391769,900.0,1150000.0,1127205.0,4250.0,121167.0,12.0,69.2,152.0,37.0,"(37.778979999999997, -122.391769)",POINT (-122.391769 37.77898),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80749773,37.763988,-122.389167,784.0,,1140236.0,4350.0,121167.0,12.0,69.2,152.0,37.0,"(37.763987999999998, -122.38916699999999)",POINT (-122.389167 37.763988),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2101584986,37.757202,-122.400884,,2875.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.757201999999999, -122.400884)",POINT (-122.400884 37.757202),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
69819569,37.777645,-122.39343,1060.0,1049000.0,1061791.0,4500.0,121167.0,12.0,69.2,152.0,37.0,"(37.777645, -122.39343000000001)",POINT (-122.39343 37.777645),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
